GID,LBL,VAL
나나8290,,0.0000000000
나나8291,"13.00",13.0000000000
나나8369,"18.00",18.0000000000
나나8370,"2210.00",2210.0000000000
나나8371,"2546.00",2546.0000000000
나나8372,"30.00",30.0000000000
나나8373,"1.00",1.0000000000
나나8374,"4.00",4.0000000000
나나8375,"11.00",11.0000000000
나나8376,"76.00",76.0000000000
나나8377,"50.00",50.0000000000
나나8378,"30.00",30.0000000000
나나8379,"36.00",36.0000000000
나나8380,"91.00",91.0000000000
나나8381,"262.00",262.0000000000
나나8382,"117.00",117.0000000000
나나8383,"16.00",16.0000000000
나나8384,"25.00",25.0000000000
나나8385,"10.00",10.0000000000
나나8386,"40.00",40.0000000000
나나8387,"122.00",122.0000000000
나나8388,"302.00",302.0000000000
나나8389,"323.00",323.0000000000
나나8390,"698.00",698.0000000000
나나8391,"54.00",54.0000000000
나나8392,,0.0000000000
나나8458,"9.00",9.0000000000
나나8459,"76.00",76.0000000000
나나8464,,0.0000000000
나나8465,,0.0000000000
나나8468,,0.0000000000
나나8469,"288.00",288.0000000000
나나8470,"2882.00",2882.0000000000
나나8471,"1259.00",1259.0000000000
나나8472,"3.00",3.0000000000
나나8473,"1.00",1.0000000000
나나8474,"9.00",9.0000000000
나나8475,"385.00",385.0000000000
나나8476,"9.00",9.0000000000
나나8477,,0.0000000000
나나8478,"27.00",27.0000000000
나나8479,"50.00",50.0000000000
나나8480,"135.00",135.0000000000
나나8481,"247.00",247.0000000000
나나8482,"208.00",208.0000000000
나나8483,"353.00",353.0000000000
나나8484,"211.00",211.0000000000
나나8485,"212.00",212.0000000000
나나8486,"31.00",31.0000000000
나나8487,"111.00",111.0000000000
나나8488,"165.00",165.0000000000
나나8489,"89.00",89.0000000000
나나8490,"877.00",877.0000000000
나나8491,"1904.00",1904.0000000000
나나8492,"426.00",426.0000000000
나나8493,"3.00",3.0000000000
나나8494,,0.0000000000
나나8558,"1.00",1.0000000000
나나8559,"5.00",5.0000000000
나나8564,"132.00",132.0000000000
나나8565,"79.00",79.0000000000
나나8567,"1.00",1.0000000000
나나8568,"3.00",3.0000000000
나나8569,"9.00",9.0000000000
나나8570,"50.00",50.0000000000
나나8571,"368.00",368.0000000000
나나8572,"8.00",8.0000000000
나나8573,"220.00",220.0000000000
나나8574,"298.00",298.0000000000
나나8575,"8.00",8.0000000000
나나8576,"70.00",70.0000000000
나나8577,"1305.00",1305.0000000000
나나8578,,0.0000000000
나나8579,,0.0000000000
나나8580,,0.0000000000
나나8581,"239.00",239.0000000000
나나8582,"7.00",7.0000000000
나나8583,"72.00",72.0000000000
나나8584,"11.00",11.0000000000
나나8585,"65.00",65.0000000000
나나8586,"190.00",190.0000000000
나나8587,"27.00",27.0000000000
나나8588,"186.00",186.0000000000
나나8589,"200.00",200.0000000000
나나8590,"213.00",213.0000000000
나나8591,"2639.00",2639.0000000000
나나8592,"3383.00",3383.0000000000
나나8593,"1017.00",1017.0000000000
나나8594,"111.00",111.0000000000
나나8664,"2.00",2.0000000000
나나8665,,0.0000000000
나나8667,,0.0000000000
나나8668,"7.00",7.0000000000
나나8669,"4.00",4.0000000000
나나8670,"12.00",12.0000000000
나나8671,"2.00",2.0000000000
나나8672,"13.00",13.0000000000
나나8673,"816.00",816.0000000000
나나8674,"73.00",73.0000000000
나나8675,"120.00",120.0000000000
나나8676,"719.00",719.0000000000
나나8677,"2074.00",2074.0000000000
나나8678,"1181.00",1181.0000000000
나나8679,,0.0000000000
나나8680,,0.0000000000
나나8681,,0.0000000000
나나8682,"1.00",1.0000000000
나나8683,"1.00",1.0000000000
나나8684,"92.00",92.0000000000
나나8685,"99.00",99.0000000000
나나8686,"11.00",11.0000000000
나나8687,"205.00",205.0000000000
나나8688,"120.00",120.0000000000
나나8689,"153.00",153.0000000000
나나8690,"26.00",26.0000000000
나나8691,"448.00",448.0000000000
나나8692,"395.00",395.0000000000
나나8693,"378.00",378.0000000000
나나8694,"255.00",255.0000000000
나나8695,"169.00",169.0000000000
나나8767,,0.0000000000
나나8768,,0.0000000000
나나8769,"119.00",119.0000000000
나나8770,"11.00",11.0000000000
나나8771,"924.00",924.0000000000
나나8772,"114.00",114.0000000000
나나8773,"62.00",62.0000000000
